date,country_code,country_name,GDP_usd,CPI_index,FX_local_per_USD,Exports_usd,Imports_usd,Trade_balance_usd,Interest_rate_percent,WTI_usd_per_barrel
2006-01-01,PHL,Philippines,127652926368.069,82.9875518672199,51.3142725,52651035880.407,50557042719.8686,2093993160.5383987,9.77866666666667,65.485
2006-02-01,PHL,Philippines,130013549893.5135,83.18810511756568,50.88378238981292,53204673157.33819,50975377289.50325,2229295867.834938,9.688062500000003,61.631052631578946
2006-03-01,PHL,Philippines,132374173418.95801,83.38865836791148,50.453292279625835,53758310434.26938,51393711859.1379,2364598575.1314774,9.597458333333336,62.68521739130435
2006-04-01,PHL,Philippines,134734796944.4025,83.58921161825725,50.02280216943875,54311947711.20058,51812046428.77255,2499901282.4280243,9.50685416666667,69.44368421052631
2006-05-01,PHL,Philippines,137095420469.847,83.78976486860304,49.59231205925167,54865584988.13177,52230380998.407196,2635203989.724571,9.416250000000003,70.84409090909091
2006-06-01,PHL,Philippines,139456043995.2915,83.99031811894882,49.16182194906459,55419222265.06296,52648715568.04185,2770506697.0211105,9.325645833333336,70.9509090909091
2006-07-01,PHL,Philippines,141816667520.73602,84.1908713692946,48.7313318388775,55972859541.99415,53067050137.6765,2905809404.31765,9.235041666666671,74.41105263157894
2006-08-01,PHL,Philippines,144177291046.1805,84.39142461964039,48.300841728690415,56526496818.92534,53485384707.31115,3041112111.614189,9.144437500000004,73.04304347826087
2006-09-01,PHL,Philippines,146537914571.625,84.59197786998617,47.870351618503335,57080134095.85653,53903719276.9458,3176414818.9107285,9.053833333333337,63.798
2006-10-01,PHL,Philippines,148898538097.06952,84.79253112033196,47.439861508316255,57633771372.78772,54322053846.580444,3311717526.2072754,8.96322916666667,58.89318181818182
2006-11-01,PHL,Philippines,151259161622.514,84.99308437067774,47.00937139812917,58187408649.71892,54740388416.215096,3447020233.5038223,8.872625000000003,59.0825
2006-12-01,PHL,Philippines,153619785147.95853,85.19363762102353,46.57888128794208,58741045926.65011,55158722985.84975,3582322940.8003616,8.782020833333338,61.959
2007-01-01,PHL,Philippines,155980408673.403,85.3941908713693,46.148391177755,59294683203.5813,55577057555.4844,3717625648.096901,8.69141666666667,54.50619047619048
2007-02-01,PHL,Philippines,158117426811.23285,85.9820193637621,45.99629921372625,59402144914.4147,56140741771.88641,3261403142.52829,8.696388888888892,59.27894736842105
